class,file,number,odd,gap,elapsed,fixNum,gazes,fixavglen,sacavglen,saclen,rec,det,lam,corm,coverage5,coverage7,coverage10
L,C1037,13,2,21,4152,6,250,642.8333333333334,6.143961273776408,36.863767642658445,0.0,0.0,0.0,0.0,0.2,0.10204081632653061,0.06
L,C1037,14,1,24,1735,2,104,792.0,3.44572096888073,6.89144193776146,0.0,0.0,0.0,0.0,0.08,0.04081632653061224,0.02
L,C1037,15,2,51,1631,3,92,469.3333333333333,5.7227619719591685,17.168285915877505,0.0,0.0,0.0,0.0,0.12,0.061224489795918366,0.03
L,C1037,16,1,27,4384,6,264,657.1666666666666,3.7046230070230397,22.22773804213824,13.253867613492265,0.0,46.30692690394183,4.074055287851889,0.08,0.061224489795918366,0.04
L,C1037,17,2,23,1214,1,74,1214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.01
L,C1037,18,1,137,3814,5,223,712.4,6.453885229920682,32.26942614960341,0.0,0.0,0.0,0.0,0.16,0.10204081632653061,0.05
L,C1037,19,2,57,1551,3,94,463.3333333333333,4.41719253167295,13.251577595018851,0.0,0.0,0.0,0.0,0.08,0.061224489795918366,0.03
L,C1037,2,1,22,6041,13,364,393.53846153846155,8.49109880933521,110.38428452135773,2.0963643471462077,0.0,0.0,0.5299278950569021,0.24,0.16326530612244897,0.1
L,C1037,20,1,204,4603,3,266,1443.6666666666667,3.6342466617565887,10.902739985269767,0.0,0.0,0.0,0.0,0.08,0.04081632653061224,0.03
L,C1037,21,2,1947,2220,1,17,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.01
L,C1037,22,1,2038,4005,2,211,1717.0,0.4111547710705047,0.8223095421410094,100.0,0.0,100.0,100.0,0.04,0.02040816326530612,0.01
L,C1037,23,2,81,3118,2,188,1474.0,2.6391788346606035,5.278357669321207,0.0,0.0,0.0,0.0,0.08,0.04081632653061224,0.02
L,C1037,3,2,1371,7959,7,367,876.5714285714286,7.297176650009307,51.08023655006515,5.541069100391134,0.0,0.0,3.694046066927423,0.16,0.14285714285714285,0.05
L,C1037,4,1,1023,5012,6,242,576.1666666666666,7.8395456722300025,47.037274033380015,0.0,0.0,0.0,0.0,0.12,0.10204081632653061,0.06
L,C1037,5,2,137,3906,2,228,1776.5,1.665966919566529,3.331933839133058,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.02
L,C1037,6,1,140,5872,12,330,422.0,7.9078740105088565,94.89448812610628,3.4198621283929342,0.0,26.246719160104988,1.6866750225216403,0.28,0.1836734693877551,0.11
L,C1037,7,2,21,1864,4,112,422.25,5.014400613321104,20.057602453284417,0.0,0.0,0.0,0.0,0.12,0.061224489795918366,0.04
L,C1037,8,1,22,3436,3,207,1116.0,2.5597457838249515,7.679237351474854,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.03
L,C1037,9,2,208,2386,4,133,558.0,3.812129819271286,15.248519277085144,0.0,0.0,0.0,0.0,0.08,0.061224489795918366,0.04
L,C1104,0,1,127,6063,2,359,2906.5,0.7223956082412893,1.4447912164825787,100.0,0.0,100.0,100.0,0.04,0.04081632653061224,0.02
L,C1104,1,2,240,5941,7,344,774.5714285714286,8.92098332311684,62.44688326181788,18.44030493052994,0.0,35.12252042007001,9.616172793966966,0.12,0.10204081632653061,0.04
L,C1104,10,1,23,835,1,50,819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.01
